SiteNumber,Upscaling Factor,Control Metric (m),Time (s),Nb Simu Per Hour
21,1500,0.332801632488303,152,23.6842105263158
21,2000,0.370537852416053,121,29.7520661157025
21,2250,0.349941695432707,96,37.5
21,3000,0.382316907810494,65,55.3846153846154
21,3182,0.371276047356707,61,59.016393442623
21,3652,0.359974227568413,61,59.016393442623
22,1,0,17214,0.209132101777623
22,2,0.0025623977304338,10047,0.358315915198567
22,7,0.0102307056616175,4377,0.822481151473612
22,15,0.016921841546297,2551,1.41121128969032
22,21,0.0201106430556624,2420,1.48760330578512
22,30,0.026952018249273,1816,1.98237885462555
22,45,0.0376185748109791,1916,1.87891440501044
22,50,0.0397303685938086,1862,1.93340494092374
22,60,0.0645456550744625,1850,1.94594594594595
22,75,0.0720847793771322,1669,2.15698022768125
22,90,0.0665826349200478,1888,1.90677966101695
22,100,0.0673529852309897,1478,2.43572395128552
22,125,0.0860241819163684,1421,2.53342716396904
22,150,0.0946198779296581,1285,2.80155642023346
22,182,0.133174424657446,1296,2.77777777777778
22,200,0.117829877214763,1096,3.28467153284672
22,250,0.14986903563511,927,3.88349514563107
22,300,0.169941329004402,772,4.66321243523316
22,330,0.235171141051211,729,4.93827160493827
22,365,0.159802943245865,766,4.69973890339426
22,550,0.283365835642776,503,7.15705765407555
22,640,0.27816750247731,377,9.54907161803714
22,730,0.216047434107233,467,7.70877944325482
22,1000,0.207394903279145,382,9.42408376963351
22,1500,0.341870083410123,261,13.7931034482759
22,2000,0.254800674712077,214,16.8224299065421
22,2250,0.365678807500308,149,24.1610738255034
22,3000,0.400594821190477,108,33.3333333333333
22,3182,0.403826703911618,115,31.304347826087
22,3652,0.282165860026995,117,30.7692307692308
23,1,0,15814,0.227646389275326
23,2,0.0042627925995811,9210,0.390879478827362
23,7,0.0205161496721075,3865,0.93143596377749
23,15,0.0366402702589686,2120,1.69811320754717
23,21,0.0445573756027822,1766,2.03850509626274
23,30,0.0601751122032808,1757,2.04894706886739
23,45,0.0870957555825631,1277,2.81910728269381
23,50,0.0951034486697061,1240,2.90322580645161
23,60,0.114348419225735,1156,3.11418685121107
23,75,0.132832787744859,1033,3.48499515972895
23,90,0.165557843069275,1149,3.1331592689295
23,100,0.169224975017451,898,4.00890868596882
23,125,0.217068691920138,826,4.35835351089588
23,150,0.243117417436837,725,4.96551724137931
23,182,0.327289330372739,612,5.88235294117647
23,200,0.298133369167733,566,6.36042402826855
23,250,0.369963618702397,465,7.74193548387097
23,300,0.395747840108409,344,10.4651162790698
23,330,0.378414878571636,292,12.3287671232877
23,365,0.393491303399819,361,9.97229916897507
23,550,0.439797883018654,192,18.75
23,640,0.452284137526363,149,24.1610738255034
23,730,0.465816562474471,168,21.4285714285714
23,1000,0.45960707941102,145,24.8275862068966
23,1500,0.522574320626768,87,41.3793103448276
23,2000,0.532177583502275,76,47.3684210526316
23,2250,0.523475970335089,55,65.4545454545455
23,3000,0.551919387304705,38,94.7368421052632
23,3182,0.561222519341434,34,105.882352941176
23,3652,0.552806126002618,44,81.8181818181818
24,1,0,9185,0.391943385955362
24,2,0.0024067949762981,5529,0.651112316874661
24,7,0.011770072135544,2251,1.59928920479787
24,15,0.0171827109142819,1148,3.13588850174216
24,21,0.0216848003655944,978,3.68098159509202
24,30,0.0306645078478985,690,5.21739130434783
24,45,0.049342016507786,717,5.02092050209205
24,50,0.0476411869047285,691,5.20984081041968
24,60,0.0641990374270417,656,5.48780487804878
24,75,0.0806796201739536,587,6.13287904599659
24,90,0.101023784559261,683,5.27086383601757
24,100,0.0984076944225218,518,6.94980694980695
24,125,0.137091868763092,479,7.51565762004175
24,150,0.187017330891452,438,8.21917808219178
24,182,0.260205628970361,350,10.2857142857143
24,200,0.22601602860561,336,10.7142857142857
24,250,0.304324196245384,251,14.3426294820717
24,300,0.327987398959857,181,19.8895027624309
24,330,0.335085492532492,157,22.9299363057325
